database_id,error_type,error_location
5671,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
5675,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
23461,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
48531,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
79104,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
55617,"Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF70A751502+60802]
	(No symbol) [0x00007FF70A6CAC02]
	(No symbol) [0x00007FF70A587CE4]
	(No symbol) [0x00007FF70A5D6D4D]
	(No symbol) [0x00007FF70A5D6E1C]
	(No symbol) [0x00007FF70A61CE37]
	(No symbol) [0x00007FF70A5FABBF]
	(No symbol) [0x00007FF70A61A224]
	(No symbol) [0x00007FF70A5FA923]
	(No symbol) [0x00007FF70A5C8FEC]
	(No symbol) [0x00007FF70A5C9C21]
	GetHandleVerifier [0x00007FF70AA5411D+3217821]
	GetHandleVerifier [0x00007FF70AA960B7+3488055]
	GetHandleVerifier [0x00007FF70AA8F03F+3459263]
	GetHandleVerifier [0x00007FF70A80B846+823494]
	(No symbol) [0x00007FF70A6D5F9F]
	(No symbol) [0x00007FF70A6D0EC4]
	(No symbol) [0x00007FF70A6D1052]
	(No symbol) [0x00007FF70A6C18A4]
	BaseThreadInitThunk [0x00007FFEE1E8257D+29]
	RtlUserThreadStart [0x00007FFEE3DEAA48+40]
",judgment
